,id,length,order,centralizer_order,centralizer_shape,centralizer_small_group,rational,real,power_up,power_map,power_classes,representative
149,56C,14428882585616301355115355445744834946531328000000000,56,56,56,-,False,False,56B^11,-,2,-
150,57A,14175744294640576769937893069503697491329024000000000,57,57,57,-,True,True,-,-,1,-
151,59A,13695210589737506370956947541723911135690752000000000,59,59,59,-,False,False,59B^2,-,2,-
152,59B,13695210589737506370956947541723911135690752000000000,59,59,59,-,False,False,59A^2,-,2,-
153,60A,2244492846651424655240166402671418769460428800000000,60,360,-,-,True,True,-,-,1,-
154,60B,3366739269977136982860249604007128154190643200000000,60,240,-,-,True,True,-,-,1,-
155,60C,6733478539954273965720499208014256308381286400000000,60,120,-,-,True,True,-,-,1,-
156,60D,6733478539954273965720499208014256308381286400000000,60,120,-,-,True,True,-,-,1,-
157,60E,13466957079908547931440998416028512616762572800000000,60,60,60,-,True,True,-,-,1,-
158,60F,13466957079908547931440998416028512616762572800000000,60,60,60,-,True,True,-,-,1,-
159,62A,13032539109588917353007417821963076725899264000000000,62,62,62,-,False,False,62B^3,-,2,-
160,62B,13032539109588917353007417821963076725899264000000000,62,62,62,-,False,False,62A^3,-,2,-
161,66A,6121344127231158150654999280012960280346624000000000,66,132,-,-,True,True,-,-,1,-
162,66B,12242688254462316301309998560025920560693248000000000,66,66,66,-,True,True,-,-,1,-
163,68A,11882609188154601115977351543554569955966976000000000,68,68,68,-,True,True,-,-,1,-
164,69A,11710397460790041679513911666111750101532672000000000,69,69,69,-,False,False,69B^5,-,2,-
165,69B,11710397460790041679513911666111750101532672000000000,69,69,69,-,False,False,69A^5,-,2,-
166,70A,5771553034246520542046142178297933978612531200000000,70,140,-,-,True,True,-,-,1,-
167,70B,11543106068493041084092284356595867957225062400000000,70,70,70,-,True,True,-,-,1,-
168,71A,11380527109781871491358590210728320521207808000000000,71,71,71,-,False,False,71B^7,-,2,-
169,71B,11380527109781871491358590210728320521207808000000000,71,71,71,-,False,False,71A^7,-,2,-
170,78A,10359197753775806101108460320021932782125056000000000,78,78,78,-,True,True,-,-,1,-
171,78B,10359197753775806101108460320021932782125056000000000,78,78,78,-,False,False,78C^7,-,2,-
